N,mode,trial,total_ops,duration_ns,ops_per_sec,ns_per_op,min_thread_rate,max_thread_rate,sum_prod_rate
1,full,1,20430914,3005006250,6798960.79,147.08,6798959.57,6798960.79,6798959.57
1,full,2,20358145,3005008958,6774743.73,147.61,6774737.73,6774743.73,6774737.73
1,full,3,19978142,3005013208,6648279.98,150.41,6648271.28,6648279.98,6648271.28
1,full,4,17637859,3005028375,5869452.47,170.37,5869449.48,5869452.47,5869449.48
1,full,5,19570504,3004984750,6512714.56,153.55,6512680.97,6512714.56,6512680.97
2,full,1,27226287,3005037542,9060297.35,110.37,4528973.49,4533133.88,9065669.67
2,full,2,27201567,3005233542,9051472.40,110.48,4504960.10,4551701.21,9056661.30
2,full,3,24599090,3005063958,8186007.41,122.16,4070277.56,4115729.86,8191367.06
2,full,4,22833137,3005046250,7598384.25,131.61,3781688.50,3822010.73,7603699.23
2,full,5,23168972,3005046500,7710125.46,129.70,3836217.09,3879217.67,7715434.77
4,full,1,14460828,3001755791,4817571.06,207.57,1154888.08,1250955.41,4822953.02
4,full,2,14395315,3005098583,4790390.68,208.75,1173905.04,1225064.08,4795772.11
4,full,3,14842860,3004739458,4939933.16,202.43,1207011.67,1258567.11,4945292.58
4,full,4,14172311,3005107042,4716209.44,212.03,1155612.48,1200769.72,4721565.10
4,full,5,14302471,3005073958,4759533.39,210.10,1176585.79,1208528.52,4764913.82
8,full,1,11666076,3003772292,3894680.65,256.76,448981.14,545117.02,3884587.11
8,full,2,10247453,3001732667,3419906.55,292.41,391698.03,482088.25,3419519.72
8,full,3,9844161,3005272000,3285792.57,304.34,379831.15,433515.99,3280588.90
8,full,4,9245245,3001694916,3089172.06,323.71,354831.41,412935.82,3084598.39
8,full,5,9254299,3005186958,3086237.66,324.02,356765.23,418979.75,3079855.40
16,full,1,5445334,3002126208,1824492.83,548.10,91105.22,141650.57,1820176.36
16,full,2,5335833,3003743292,1781106.98,561.45,85135.78,137997.15,1783388.78
16,full,3,5213159,3005604208,1747831.32,572.14,85988.84,143194.21,1738080.45
16,full,4,5304003,3005567583,1766790.12,566.00,85924.31,143442.85,1767265.13
16,full,5,6604374,3004019542,2204226.37,453.67,107318.69,187477.32,2200623.15
1,queue-only,1,127852300,3005014083,42546327.78,23.50,42546327.78,42551768.22,42551768.22
1,queue-only,2,128145179,3005015958,42643774.09,23.45,42643774.09,42649148.89,42649148.89
1,queue-only,3,130891090,3005012416,43557608.83,22.96,43557608.83,43563034.34,43563034.34
1,queue-only,4,134414631,3005019083,44730099.46,22.36,44730099.46,44735418.24,44735418.24
1,queue-only,5,131594473,3005009917,43791726.82,22.84,43791726.82,43797151.23,43797151.23
2,queue-only,1,33036093,3000866417,11008916.66,90.84,5463716.74,5548648.85,11012365.60
2,queue-only,2,33246694,3005035083,11063766.65,90.39,5447384.38,5616953.49,11064337.87
2,queue-only,3,34434563,3003366584,11465430.55,87.22,5626062.11,5843700.39,11469762.51
2,queue-only,4,32632854,3005041333,10859485.05,92.09,5308241.43,5551243.61,10859376.01
2,queue-only,5,32235165,3005033750,10727122.88,93.22,5324295.35,5406622.74,10730918.09
4,queue-only,1,17275240,3003607709,5751610.01,173.86,1379106.75,1529570.92,5753493.76
4,queue-only,2,17467449,3005067750,5812765.50,172.04,1355262.68,1515461.01,5816061.01
4,queue-only,3,17564239,3004450125,5846187.44,171.05,1386595.64,1604990.78,5851433.96
4,queue-only,4,18371501,3002930541,6118033.79,163.45,1457758.46,1624030.11,6118145.76
4,queue-only,5,18335539,3005609833,6100610.70,163.92,1454595.14,1590856.94,6102502.82
8,queue-only,1,8755374,3002529500,2923832.19,342.02,325824.31,416699.35,2916133.86
8,queue-only,2,8944812,3005253833,2987152.89,334.77,322681.40,421167.41,2977989.45
8,queue-only,3,8838742,3003499750,2952064.82,338.75,326906.62,432490.60,2945494.29
8,queue-only,4,8675343,3005338875,2897119.70,345.17,314336.28,436573.22,2890289.74
8,queue-only,5,8703488,3001869334,2907737.34,343.91,328325.78,400471.33,2904938.81
16,queue-only,1,4841304,3005569625,1620433.02,617.12,74086.48,127953.71,1618318.08
16,queue-only,2,3968817,3002105041,1324324.25,755.10,62723.86,104138.30,1325677.73
16,queue-only,3,4355302,3005557459,1453263.16,688.11,69907.85,133077.49,1449832.80
16,queue-only,4,4470535,3005478125,1497894.46,667.60,71103.20,121937.43,1489026.84
16,queue-only,5,3980602,3005572459,1335308.33,748.89,60527.42,121949.51,1332714.13
